特价,原价,药名,厂家,规格,效期
券后约 ￥7.13,￥7.50,双氯芬酸钠凝胶,海南先声药业有限公司(原先声药业有限公司),规格：15g:0.15g(1%),效期：2022-04-11
券后约 ￥5.83,￥6.14,栀子,四川盛世锦荣药业有限公司,规格：500g（碎块）,效期：2024-10-31
券后约 ￥4.38,￥4.61,乳酸左氧氟沙星滴眼液,重庆科瑞制药（集团）有限公司,规格：5ml(5ml;15mg),效期：2021-11-30
券后约 ￥90.74,￥95.52,酒黄精,成都市祺隆中药饮片有限公司,规格：1kg（酒蒸）,效期：2025-02-28
券后约 ￥6.77,￥7.13,金菊五花茶颗粒,广西梧州神农药业有限公司,规格：10g*12袋,效期：2022-07-31
券后约 ￥18.14,￥19.10,山楂粉,四川博仁药业有限责任公司,规格：128g（细粉）,效期：2022-09-30
券后约 ￥5.69,￥5.99,鼻炎宁颗粒,台州南峰药业有限公司,规格：15g*9袋,效期：2022-02-28
券后约 ￥18.14,￥19.10,千年健,四川国强中药饮片有限公司,规格：500g（片）,效期：2024-11-30
券后约 ￥1.00,￥1.05,氯化钾注射液,新乡市常乐制药有限责任公司,规格：10ml：1g*5支,效期：2022-07-31
券后约 ￥29.18,￥30.72,广藿香,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2025-07-31
券后约 ￥2.89,￥3.04,酒石酸美托洛尔片,黑龙江迪龙制药有限公司,规格：25mg*24片,效期：2022-09-01
券后约 ￥10.78,￥11.35,香附,四川九威阁中药饮片有限公司,规格：0.5kg（片）,效期：2025-04-30
券后约 ￥13.18,￥13.87,匹多莫德片,华润三九（唐山）药业有限公司,规格：0.4g*6片,效期：2023-02-28
券后约 ￥5.71,￥6.01,鸡矢藤,四川省卓宇制药有限公司,规格：0.5kg(切制),效期：2025-04-30
券后约 ￥7.45,￥7.84,维生素B1片,新乡市常乐制药有限责任公司,规格：10mg*1000片                                                 ,效期：2023-03-31
券后约 ￥17.23,￥18.14,隔山撬,成都市祺隆中药饮片有限公司,规格：0.5kg（片）                                                 ,效期：2025-07-31
券后约 ￥5.23,￥5.51,甘羟铝片,华东医药(西安)博华制药有限公司,规格：0.25g*12片*2板,效期：2022-12-31
券后约 ￥89.39,￥94.09,虻虫,四川国强中药饮片有限公司,规格：100g（净制）                                                ,效期：2025-07-31
券后约 ￥12.90,￥13.58,福多司坦片,宜昌东阳光长江药业股份有限公司,规格：0.2g*20片(薄膜衣)                                           ,效期：2022-06-11
券后约 ￥13.73,￥14.45,枳壳,四川盛世锦荣药业有限公司,规格：500g（切制）,效期：2025-07-31
券后约 ￥4.70,￥4.95,舒神灵胶囊,吉林省天泰药业股份有限公司,规格：12粒*4板,效期：2023-04-30
券后约 ￥6.73,￥7.08,舒筋草,四川省卓宇制药有限公司,规格：0.5kg(切制),效期：2025-07-31
券后约 ￥6.42,￥6.76,贝诺酯片,湖南中南制药有限责任公司,规格：0.5g*100片,效期：2023-04-30
券后约 ￥4.24,￥4.46,安神补脑片,长春海外制药集团有限公司,规格：0.31g*12片,效期：2022-02-28
券后约 ￥22.02,￥23.18,胆南星,四川百胜药业有限公司,规格：500g,效期：2022-10-30
券后约 ￥1.39,￥1.46,鲜竹沥,江西盛翔制药有限公司,规格：10ml*6支,效期：2021-12-31
券后约 ￥12.35,￥13.00,淡竹叶,四川盛世锦荣药业有限公司,规格：500g（切制）,效期：2024-12-31
券后约 ￥4.97,￥5.23,乌洛托品溶液,浙江景岳堂药业有限公司,规格：20ml(39.5%),效期：2022-08-31
券后约 ￥12.35,￥13.00,垂穗伸筋草,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2025-05-31
券后约 ￥4.97,￥5.23,蜜炼枇杷含片,桂林三金大健康产业有限公司,规格：28.8g(7.2g*4袋),效期：2022-04-01
券后约 ￥61.74,￥64.99,柏子仁,成都市祺隆中药饮片有限公司,规格：0.5kg（净制）,效期：2024-10-31
券后约 ￥2.18,￥2.30,氨基比林咖啡因片,赤峰蒙欣药业有限公司,规格：100片,效期：2023-03-31
券后约 ￥34.00,￥35.79,知母,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2024-06-30
券后约 ￥24.88,￥26.19,复方甘草酸苷胶囊,北京凯因科技股份有限公司,规格：10粒*4板,效期：2023-06-21
券后约 ￥9.12,￥9.60,白芷,四川盛世锦荣药业有限公司,规格：500g（切制）,效期：2025-05-31
券后约 ￥9.68,￥10.19,吲哚美辛三七冰片栓,广州白云山医药集团股份有限公司白云山何济公制药厂,规格：10粒,效期：2022-01-31
券后约 ￥18.25,￥19.21,金钱草,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2025-08-31
券后约 ￥2.08,￥2.19,复方鸡内金片,景忠山国药(唐山)有限公司,规格：0.25g*36片(糖衣),效期：2023-05-31
券后约 ￥9.12,￥9.60,藿香,成都市祺隆中药饮片有限公司,规格：0.5kg（净制）,效期：2025-07-31
券后约 ￥5.71,￥6.01,玉屏风口服液,江西钟山药业有限责任公司,规格：10ml*10支(100盒/件),效期：2023-08-31
券后约 ￥9.12,￥9.60,矮地茶,成都市祺隆中药饮片有限公司,规格：0.5kg（段）,效期：2024-02-28
券后约 ￥9.84,￥10.36,川芎茶调丸,兰州佛慈制药股份有限公司,规格：200丸(浓缩丸),效期：2025-06-10
券后约 ￥5.90,￥6.21,光皮木瓜,四川盛世锦荣药业有限公司,规格：500g（切制）,效期：2025-03-31
券后约 ￥8.12,￥8.55,维生素B1片,山西汾河制药有限公司,规格：10mg*1000片,效期：2023-08-31
券后约 ￥5.90,￥6.21,蛤壳,成都市祺隆中药饮片有限公司,规格：0.5kg（碎）,效期：2024-02-28
券后约 ￥2.76,￥2.91,复方氨酚烷胺胶囊,四川泰华堂制药有限公司,规格：12粒,效期：2022-01-31
券后约 ￥11.80,￥12.42,槐花,成都市祺隆中药饮片有限公司,规格：0.5kg（净制）,效期：2025-05-31
券后约 ￥7.84,￥8.25,吡拉西坦片,安徽金太阳生化药业有限公司,规格：0.4g*100片                                                  ,效期：2023-09-01
券后约 ￥32.16,￥33.85,太子参,四川盛世锦荣药业有限公司,规格：500g（净制）,效期：2025-07-31
券后约 ￥4.15,￥4.37,碘伏消毒液,洛阳紫光健康科技开发有限公司,规格：100ml,效期：2022-09-01
券后约 ￥105.05,￥110.58,五味子,成都市祺隆中药饮片有限公司,规格：1kg（净制）                                                 ,效期：2025-05-31
券后约 ￥3.85,￥4.05,舒肝健胃丸,河北凯诺制药有限公司,规格：6g*10袋,效期：2022-05-31
券后约 ￥8.57,￥9.02,大青叶,四川九威阁中药饮片有限公司,规格：0.5kg(段),效期：2025-04-30
券后约 ￥4.07,￥4.28,复方氨基酸注射液18AA,四川科伦药业股份有限公司,规格：250ml:12.5g 18AA,效期：2022-08-31
券后约 ￥14.19,￥14.94,芡实,四川盛世锦荣药业有限公司,规格：500g（净制）,效期：2025-02-28
券后约 ￥12.44,￥13.10,橘红颗粒,山东孔府制药有限公司,规格：4g*20袋(无蔗糖),效期：2022-11-06
券后约 ￥141.91,￥149.38,砂仁,四川盛世锦荣药业有限公司,规格：500g（净制）,效期：2025-05-31
券后约 ￥22.49,￥23.67,白术,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2025-06-30
券后约 ￥5.99,￥6.31,坤宝丸,辽源誉隆亚东药业有限责任公司,规格：50g*11袋                                                    ,效期：2023-04-30
券后约 ￥33.17,￥34.92,赤芍,四川九威阁中药饮片有限公司,规格：0.5kg(片),效期：2024-12-31
券后约 ￥1.42,￥1.49,妥布霉素滴眼液,杭州国光药业股份有限公司,规格：5ml:15mg,效期：2022-04-30
券后约 ￥331.74,￥349.20,鹿角胶,石家庄华鹏药业有限公司,规格：264g(铁盒),效期：2022-12-31
券后约 ￥30.41,￥32.01,贝诺酯片,重庆和平制药有限公司,规格：0.5g*500片,效期：2023-06-30
券后约 ￥13.27,￥13.97,玉竹,四川禾一天然药业有限公司,规格：80g（片）,效期：2023-05-31
券后约 ￥3.70,￥3.90,栀子金花丸,山西天生制药有限责任公司,规格：9g*5袋,效期：2023-06-30
券后约 ￥29.95,￥31.53,枸杞蜂蜜,成都诚德生物科技有限公司,规格：950g,效期：2022-08-01
券后约 ￥3.32,￥3.49,兰索拉唑肠溶片,乐普药业股份有限公司,规格：15mg*14片,效期：2022-03-31
券后约 ￥26.72,￥28.13,枣花蜂蜜,成都诚德生物科技有限公司,规格：950g,效期：2022-08-04
券后约 ￥10.45,￥11.00,高锰酸钾外用片,济南康福生制药有限公司,规格：0.1g*24片,效期：2022-07-31
券后约 ￥80.17,￥84.39,胖大海,成都市祺隆中药饮片有限公司,规格：1kg（净制）                                                 ,效期：2025-06-30
券后约 ￥3.89,￥4.09,维生素B6注射液,山东方明药业集团股份有限公司,规格：2ml:0.1g*10支,效期：2023-01-10
券后约 ￥10.69,￥11.25,泽泻,四川九威阁中药饮片有限公司,规格：0.5kg（片）,效期：2025-06-30
券后约 ￥11.52,￥12.13,全天麻胶囊,上海世康特制药有限公司,规格：0.5g*12粒*3板,效期：2023-06-30
券后约 ￥5.35,￥5.63,茯苓皮,成都市祺隆中药饮片有限公司,规格：0.5kg（净制）                                               ,效期：2025-07-31
券后约 ￥2.07,￥2.18,银杏叶片,海口奇力制药股份有限公司,规格：(9.6+2.4)mg*24片,效期：2022-08-31
券后约 ￥31.24,￥32.88,升麻,四川省卓宇制药有限公司,规格：0.5kg（切制）,效期：2025-08-31
券后约 ￥2.53,￥2.66,野生银花露,湖北大别山药业股份有限公司,规格：340ml,效期：2021-09-30
券后约 ￥12.81,￥13.48,茯苓,四川禾一天然药业有限公司,规格：150g（块）                                                  ,效期：2023-07-31
券后约 ￥2.53,￥2.66,银花露,湖北楚天舒药业有限公司,规格：340ml(低糖型)(野生),效期：2022-02-28
券后约 ￥6.79,￥7.15,六神曲,四川弘升药业有限公司,规格：500g,效期：2021-09-26
券后约 ￥12.19,￥12.83,便通片,泰华天然生物制药有限公司,规格：0.46g*18片(薄膜衣)                                          ,效期：2023-02-28
券后约 ￥34.45,￥36.26,蔓荆子,四川盛世锦荣药业有限公司,规格：500g（净制）,效期：2025-07-31
券后约 ￥6.05,￥6.37,独一味软胶囊,江苏万高药业股份有限公司,规格：0.55g*12粒*3板,效期：2021-12-31
券后约 ￥48.41,￥50.96,管花肉苁蓉片,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2024-07-31
券后约 ￥11.91,￥12.54,四环素片,宁夏启元国药有限公司,规格：0.25g*100片(糖衣),效期：2022-02-28
券后约 ￥7.26,￥7.64,桑叶,四川天利合药业有限公司,规格：0.5kg（切制）                                               ,效期：2025-05-31
券后约 ￥22.39,￥23.57,孟鲁司特钠咀嚼片,四川大冢制药有限公司,规格：5mg*5片(100盒/件),效期：2022-01-17
券后约 ￥18.15,￥19.11,薤白,四川盛世锦荣药业有限公司,规格：500g（净制）,效期：2025-02-28
券后约 ￥5.25,￥5.53,免水洗手消毒凝胶,青岛海氏海诺英诺威消毒科技有限公司,规格：60ml                                                        ,效期：2022-06-02
券后约 ￥22.25,￥23.42,姜黄,四川省卓宇制药有限公司,规格：1kg（切制）,效期：2025-06-30
券后约 ￥12.53,￥13.19,赖氨酸磷酸氢钙颗粒,长春白求恩制药有限公司,规格：5g*10袋,效期：2021-11-30
券后约 ￥11.54,￥12.15,白术,四川盛世锦荣药业有限公司,规格：500g（切制）,效期：2025-07-31
券后约 ￥7.68,￥8.08,复方鲜竹沥液,江西南昌济生制药有限责任公司（原江西南昌济生制药厂）,规格：20ml*6瓶,效期：2022-03-31
券后约 ￥31.65,￥33.32,车前子,成都市祺隆中药饮片有限公司,规格：1kg（净制）,效期：2025-08-31
券后约 ￥21.94,￥23.09,硝酸舍他康唑乳膏,"FERRER INTERNACIONAL,S.A",规格：10g,效期：2022-06-30
券后约 ￥35.38,￥37.24,肉桂,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2025-08-31
券后约 ￥12.19,￥12.83,鳖甲消痔胶囊,贵州汉方药业有限公司,规格：0.4g*12粒*2板,效期：2023-04-29
券后约 ￥10.98,￥11.56,苏木,四川省卓宇制药有限公司,规格：0.5kg(切制),效期：2025-06-30
券后约 ￥9.83,￥10.35,缬沙坦胶囊,湖南千金湘江药业股份有限公司,规格：80mg*7粒,效期：2022-11-30
券后约 ￥10.98,￥11.56,续断,四川盛世锦荣药业有限公司,规格：500g（切制）,效期：2025-06-30
券后约 ￥2.07,￥2.18,曲克芦丁注射液,国药集团容生制药有限公司,规格：2ml:100mg*10支,效期：2022-04-30
券后约 ￥9.21,￥9.70,麸炒青皮,四川省卓宇制药有限公司,规格：0.5kg（麸炒）                                               ,效期：2025-03-31
券后约 ￥68.89,￥72.52,燀桃仁,四川省卓宇制药有限公司,规格：1kg(燀制)                                                   ,效期：2025-04-30
券后约 ￥9.83,￥10.35,银蜜片,山西康欣药业有限公司,规格：0.25g*12片*4板(糖衣),效期：2022-05-31
券后约 ￥13.50,￥14.21,珍满坊大花银耳,成都诚德生物科技有限公司,规格：128g,效期：
券后约 ￥1.06,￥1.12,维生素B1片,山西太原药业有限公司委托山西立业制药有限公司生产,规格：10mg*100片,效期：2022-01-14
券后约 ￥23.65,￥24.89,丹参,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2025-07-31
券后约 ￥4.33,￥4.56,心可宁胶囊,哈尔滨天地药业有限公司,规格：0.4g*16粒*2板,效期：2023-08-31
券后约 ￥29.98,￥31.56,洋槐蜂蜜,成都诚德生物科技有限公司,规格：950g,效期：2022-07-31
券后约 ￥20.82,￥21.92,苯溴马隆片,常州康普药业有限公司,规格：50mg*10片*2板,效期：2022-09-30
券后约 ￥6.42,￥6.76,茯苓皮,四川九威阁中药饮片有限公司,规格：0.5kg(净制),效期：2025-07-31
券后约 ￥7.22,￥7.60,格列美脲片,贵州圣济堂制药有限公司,规格：2mg*12片,效期：2022-11-30
券后约 ￥6.42,￥6.76,垂穗伸筋草,四川盛世锦荣药业有限公司,规格：500g（切制）,效期：2025-03-31
券后约 ￥79.94,￥84.15,八珍鹿胎颗粒,新疆南京同仁堂健康药业有限公司,规格：10g*10袋,效期：2022-02-28
券后约 ￥6.42,￥6.76,萹蓄,成都市祺隆中药饮片有限公司,规格：0.5kg（段）,效期：2025-04-30
券后约 ￥17.24,￥18.15,安眠补脑口服液,湖北诺得胜制药有限公司,规格：10ml*12支,效期：2021-10-31
券后约 ￥6.42,￥6.76,伸筋草,成都市祺隆中药饮片有限公司,规格：0.5kg（段）                                                 ,效期：2025-08-31
券后约 ￥13.51,￥14.22,前列舒乐胶囊,临江市宏大药业有限公司,规格：0.4g*15粒*4板,效期：2023-05-31
券后约 ￥17.13,￥18.03,紫荆皮,四川九威阁中药饮片有限公司,规格：0.5kg(段),效期：2025-09-30
券后约 ￥9.93,￥10.45,血塞通分散片,安徽圣鹰药业有限公司,规格：50mg(片重0.3g)*9片*3板,效期：2022-12-31
券后约 ￥96.82,￥101.92,醋鳖甲,四川省卓宇制药有限公司,规格：0.5kg（砂烫醋淬）,效期：2025-06-30
券后约 ￥10.11,￥10.64,羟苯磺酸钙分散片,海南林恒制药股份有限公司,规格：0.25g*12片*2板,效期：2022-06-30
券后约 ￥25.14,￥26.46,金银花,四川禾一天然药业有限公司,规格：50g（净选）,效期：2023-06-30
券后约 ￥3.51,￥3.69,辛伐他汀片,成都华宇制药有限公司,规格：10mg*10片(薄膜衣),效期：2021-10-31
券后约 ￥10.43,￥10.98,生地黄,四川盛世锦荣药业有限公司,规格：500g（切制）,效期：2025-05-31
券后约 ￥5.30,￥5.58,格列齐特缓释片,山东鲁抗医药集团赛特有限责任公司,规格：30mg*10片*2板,效期：2022-07-20
券后约 ￥18.34,￥19.31,蜜紫菀,四川省卓宇制药有限公司,规格：0.5kg（蜜炙）,效期：2025-05-31
券后约 ￥8.84,￥9.31,颈康胶囊,吉林真元制药有限公司,规格：0.3g*16粒*4板(300盒/件)                                     ,效期：2022-05-31
券后约 ￥12.29,￥12.94,盐泽泻,四川盛世锦荣药业有限公司,规格：500g（盐炙）,效期：2025-01-31
券后约 ￥8.12,￥8.55,玻璃酸钠滴眼液,齐鲁制药有限公司,规格：5ml（0.1%）,效期：2021-09-27
券后约 ￥101.48,￥106.82,重楼,四川盛世锦荣药业有限公司,规格：100g（切制）,效期：2025-01-31
券后约 ￥5.15,￥5.42,卡维地洛片,福安药业集团宁波天衡制药有限公司,规格：10mg*20片,效期：2023-07-31
券后约 ￥10.09,￥10.62,阿仑膦酸钠片,石药集团欧意药业有限公司,规格：10mg*6片,效期：2023-06-08
券后约 ￥36.31,￥38.22,薤白,四川盛世锦荣药业有限公司,规格：1kg（净制）,效期：2025-02-28
券后约 ￥8.58,￥9.03,奋乃静片,上海玉瑞生物科技（安阳）药业有限公司,规格：2mg*100片                                                   ,效期：2022-11-30
券后约 ￥12.01,￥12.64,虎杖,四川九威阁中药饮片有限公司,规格：0.5kg（片）,效期：2025-08-31
券后约 ￥7.94,￥8.36,麝香祛痛搽剂,黑龙江天龙药业有限公司,规格：56ml,效期：2022-08-31
券后约 ￥12.01,￥12.64,白术,四川九威阁中药饮片有限公司,规格：0.5kg(片),效期：2025-06-30
券后约 ￥64.05,￥67.42,白附片,四川盛世锦荣药业有限公司,规格：1kg（净制）,效期：2025-03-31
券后约 ￥7.40,￥7.79,双黄连口服液,黑龙江瑞格制药有限公司,规格：10ml*9支,效期：2021-12-31
券后约 ￥65.08,￥68.50,大叶茜草,四川利民中药饮片有限责任公司,规格：500g（段）,效期：2023-07-19
券后约 ￥3.78,￥3.98,叶酸片,常州制药厂有限公司,规格：0.4mg*31片,效期：2023-08-23
券后约 ￥21.60,￥22.74,黄柏,四川盛世锦荣药业有限公司,规格：500g（切制）,效期：2025-06-30
券后约 ￥5.98,￥6.30,黄凡士林,河南华凯生物科技有限公司,规格：500g,效期：2023-08-31
券后约 ￥6.24,￥6.57,陈皮,四川九威阁中药饮片有限公司,规格：0.5kg(丝),效期：2025-04-30
券后约 ￥4.88,￥5.14,红霉素眼膏,云南植物药业有限公司,规格：4g(0.5%),效期：2024-10-09
券后约 ￥21.32,￥22.44,炒白扁豆,四川盛世锦荣药业有限公司,规格：1kg（炒制）,效期：2024-12-31
券后约 ￥6.84,￥7.20,麻仁软胶囊,佛山手心制药有限公司,规格：0.6g*12粒,效期：2022-08-31
券后约 ￥44.13,￥46.45,灵芝,四川省卓宇制药有限公司,规格：1kg（切制）                                                 ,效期：2025-07-31
券后约 ￥4.97,￥5.23,丹参舒心胶囊,焦作福瑞堂制药有限公司,规格：0.3g*12粒*4板                                               ,效期：2022-05-31
券后约 ￥55.39,￥58.31,土茯苓,四川九威阁中药饮片有限公司,规格：1kg（片）,效期：2025-06-30
券后约 ￥4.87,￥5.13,川贝枇杷糖浆,四川天府康达药业集团府庆制药有限公司（原四川省府庆制药有限公司）,规格：100ml(精装),效期：2021-10-31
券后约 ￥29.79,￥31.36,枇杷蜂蜜,成都诚德生物科技有限公司,规格：950g,效期：2022-08-03
券后约 ￥4.69,￥4.94,硝苯地平缓释片,湖南华纳大药厂股份有限公司,规格：10mg*15片*2板(薄膜衣)                                       ,效期：2023-03-31
券后约 ￥29.79,￥31.36,皂角刺,四川盛世锦荣药业有限公司,规格：500g（净制）,效期：2025-01-31
券后约 ￥3.96,￥4.17,美洛昔康片,江苏云阳集团药业有限公司,规格：7.5mg*10片*2板,效期：2021-08-31
券后约 ￥7.45,￥7.84,大枣,四川九威阁中药饮片有限公司,规格：150g（净制）,效期：2022-10-31
券后约 ￥5.53,￥5.82,酚磺乙胺注射液,山东方明药业集团股份有限公司,规格：2ml:0.5g*10支,效期：2022-07-26
券后约 ￥10.43,￥10.98,木香,四川九威阁中药饮片有限公司,规格：0.5kg(片),效期：2024-12-31
券后约 ￥2.44,￥2.57,半夏糖浆,广西邦琪药业集团有限公司,规格：100ml,效期：2022-08-31
券后约 ￥11.08,￥11.66,番泻叶,四川盛世锦荣药业有限公司,规格：500g（净制）,效期：2025-07-31
券后约 ￥3.99,￥4.20,维生素B6注射液,石药银湖制药有限公司,规格：2ml:0.1g*10支,效期：2022-09-04
券后约 ￥25.04,￥26.36,杜仲,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2025-04-30
券后约 ￥3.89,￥4.09,养血安神糖浆,湖北午时药业股份有限公司,规格：100ml,效期：2022-03-31
券后约 ￥12.76,￥13.43,玫瑰花,四川禾一天然药业有限公司,规格：70g（净选）,效期：2023-05-31
券后约 ￥10.90,￥11.47,炒白扁豆,四川盛世锦荣药业有限公司,规格：500g（炒制）,效期：2025-07-31
券后约 ￥16.76,￥17.64,咳喘宁口服液,南京先声东元制药有限公司,规格：10ml*6瓶,效期：2021-10-30
券后约 ￥43.57,￥45.86,黄柏,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2025-02-28
券后约 ￥3.43,￥3.61,牛黄净脑片,景忠山国药(唐山)有限公司,规格：36片(糖衣),效期：2023-05-31
券后约 ￥21.78,￥22.93,泽泻,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2025-04-30
券后约 ￥3.16,￥3.33,盐酸西替利嗪片,成都利尔药业有限公司/成都利尔药业有限公司,规格：10mg*10片(薄膜衣),效期：2022-03-09
券后约 ￥9.03,￥9.51,金钱草,四川九威阁中药饮片有限公司,规格：0.5kg(段),效期：2024-08-20
券后约 ￥2.87,￥3.02,咳特灵胶囊,广东省惠州市中药厂有限公司,规格：10粒*2板,效期：2021-12-31
券后约 ￥9.03,￥9.51,菊花,四川禾一天然药业有限公司,规格：50g（杭菊）,效期：2023-06-30
券后约 ￥5.22,￥5.50,头孢克肟胶囊,昆明积大制药股份有限公司,规格：100mg*8粒,效期：2023-09-06
券后约 ￥18.06,￥19.01,山药,四川九威阁中药饮片有限公司,规格：0.5kg（片）,效期：2025-06-30
券后约 ￥2.53,￥2.66,小儿复方鸡内金散,河北扁鹊制药有限公司,规格：2g*12袋,效期：2022-12-31
券后约 ￥9.03,￥9.51,盐小茴香,成都市祺隆中药饮片有限公司,规格：0.5kg（盐炙）,效期：2025-03-31
券后约 ￥6.05,￥6.37,芎菊上清片,保定中药制药股份有限公司,规格：12片*3板(糖衣),效期：2023-03-31
券后约 ￥81.00,￥85.26,仙茅,四川国强中药饮片有限公司,规格：250g（段）,效期：2024-12-31
券后约 ￥4.51,￥4.75,盐酸二甲双胍缓释片,山西华元医药生物技术有限公司,规格：0.5g*7片*4板,效期：2023-06-30
券后约 ￥28.67,￥30.18,灯心草,四川盛世锦荣药业有限公司,规格：100g（切制）,效期：2025-01-31
券后约 ￥1.62,￥1.71,马来酸氯苯那敏片,长春长红制药有限公司,规格：4mg*24片,效期：2022-06-30
券后约 ￥14.34,￥15.09,炒山楂,成都市祺隆中药饮片有限公司,规格：1kg（炒制）                                                 ,效期：2025-06-30
券后约 ￥1.49,￥1.57,5%葡萄糖注射液,山东科伦药业有限公司委托四川科伦药业股份有限公司,规格：500ml:25g（塑瓶）,效期：2022-04-30
券后约 ￥7.17,￥7.55,建曲,内江良辉药业有限公司,规格：500g                                                        ,效期：2023-07-31
券后约 ￥1.26,￥1.33,曲克芦丁注射液,山西太原药业有限公司,规格：2ml*60mg*10支,效期：2022-04-07
券后约 ￥71.69,￥75.46,法半夏,四川盛世锦荣药业有限公司,规格：500g（甘草、石灰制）,效期：2025-08-31
券后约 ￥0.99,￥1.04,注射用奥美拉唑钠,安徽省先锋制药有限公司委托国药集团国瑞药业有限公司生产,规格：40mg（简装）,效期：2021-11-30
券后约 ￥203.89,￥214.62,龙齿,成都市祺隆中药饮片有限公司,规格：0.5kg（净制）,效期：2025-06-30
券后约 ￥3.69,￥3.88,北豆根胶囊,颈复康药业集团有限公司,规格：30mg*20粒,效期：2022-01-06
券后约 ￥53.63,￥56.45,冬葵果,四川利民中药饮片有限责任公司,规格：500g（净制）                                                ,效期：2023-03-04
券后约 ￥3.04,￥3.20,附子理中丸,吉林省正辉煌药业有限公司,规格：200丸,效期：2022-03-31
券后约 ￥61.45,￥64.68,野菊花,四川盛世锦荣药业有限公司,规格：1kg（净制）,效期：2025-01-31
券后约 ￥0.98,￥1.03,氧氟沙星滴眼液,石家庄格瑞药业有限公司,规格：5ml(0.3%),效期：2022-09-04
券后约 ￥63.68,￥67.03,太子参,四川盛世锦荣药业有限公司,规格：1kg（净制）,效期：2025-01-31
券后约 ￥11.01,￥11.59,泛昔洛韦分散片,山东海山药业有限公司,规格：0.125g*6片*2板,效期：2022-05-31
券后约 ￥5.31,￥5.59,茯苓皮,四川利民中药饮片有限责任公司,规格：500g（块）,效期：2023-08-04
券后约 ￥10.45,￥11.00,吡拉西坦片,宜昌人福药业有限责任公司,规格：0.4g*100片,效期：2023-04-30
券后约 ￥26.53,￥27.93,党参蜂蜜,成都诚德生物科技有限公司,规格：950g,效期：2022-10-04
券后约 ￥5.87,￥6.18,暖贴（暖宝宝）,江西水滴药业有限公司,规格：10贴,效期：2023-10-07
券后约 ￥8.75,￥9.21,醋香附,四川盛世锦荣药业有限公司,规格：500g（醋炙）,效期：2025-06-30
券后约 ￥5.33,￥5.61,隆力奇蛇油果酸滋润锁水护手霜,江苏隆力奇生物科技股份有限公司,规格：50g,效期：2023-08-15
券后约 ￥73.55,￥77.42,皂角刺,四川九威阁中药饮片有限公司,规格：0.5kg（片）,效期：2025-05-31
券后约 ￥2.01,￥2.12,盐酸异丙嗪片,丹东医创药业有限责任公司,规格：12.5mg*100片,效期：2022-08-31
券后约 ￥12.20,￥12.84,芦根,四川盛世锦荣药业有限公司,规格：500g（切制）,效期：2024-12-31
券后约 ￥11.87,￥12.49,益气养血口服液,吉林省银诺克药业有限公司,规格：10ml*15支                                                   ,效期：2023-01-01
券后约 ￥22.25,￥23.42,苦杏仁,四川盛世锦荣药业有限公司,规格：500g（净制）,效期：2025-02-28
券后约 ￥10.47,￥11.02,双黄连口服液,河南福森药业有限公司,规格：10ml*10支,效期：2022-07-21
券后约 ￥22.25,￥23.42,灵芝,成都市祺隆中药饮片有限公司,规格：0.5kg（片）,效期：2025-07-31
券后约 ￥30.72,￥32.34,野菊花,四川盛世锦荣药业有限公司,规格：500g（净制）,效期：2025-09-30
券后约 ￥8.84,￥9.31,氨茶碱注射液,天津金耀药业有限公司,规格：10ml:0.25g*5支,效期：2021-11-30
券后约 ￥30.72,￥32.34,天麻,四川禾一天然药业有限公司,规格：100g（片）,效期：2023-06-30
券后约 ￥15.36,￥16.17,芒硝,成都市祺隆中药饮片有限公司,规格：0.5kg（净制）                                               ,效期：2025-07-31
券后约 ￥7.31,￥7.70,盐酸曲美他嗪片,远大医药（中国）有限公司,规格：20mg*15片*2板(薄膜衣)                                       ,效期：2022-03-31
券后约 ￥16.48,￥17.35,青皮,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2025-07-31
券后约 ￥20.58,￥21.66,脂肪乳注射液(C14～24),四川科伦药业股份有限公司,规格：500ml:50g,效期：2022-05-31
券后约 ￥18.52,￥19.50,天花粉,四川九威阁中药饮片有限公司,规格：0.5kg(片),效期：2025-06-30
券后约 ￥4.10,￥4.32,复合维生素B片,华中药业股份有限公司,规格：100片,效期：2023-06-30
券后约 ￥18.52,￥19.50,石榴皮,四川利民中药饮片有限责任公司,规格：1kg（丝）                                                   ,效期：2022-03-27
券后约 ￥13.81,￥14.54,朱砂安神丸,北京御生堂集团石家庄制药有限公司,规格：9g*10丸,效期：2023-03-31
券后约 ￥21.14,￥22.25,木香,四川盛世锦荣药业有限公司,规格：1kg（切制）,效期：2025-03-31
券后约 ￥10.26,￥10.80,安络小皮伞片,山西康欣药业有限公司,规格：0.42g*12片*2板(薄膜衣),效期：2023-05-01
